qid,question,answer_no_context,model
q_680,Who predicted that Beyoncé would become the highest paid black entertainer?,Jay-Z,llama3-8b-8192
q_681,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,2022,llama3-8b-8192
q_682,Beyonce's range in singing is how many octaves?,3,llama3-8b-8192
q_683,who talked about Beyonce's tone and timbre as distinctive?,Erykah Badu,llama3-8b-8192
q_684,"Which critic called Beyonce's voice ""versatile""?",Rolling Stone,llama3-8b-8192
q_685,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,The 1970s,llama3-8b-8192
q_686,How many octaves does Beyonce have?,4,llama3-8b-8192
q_687,What did the Daily Mail say about Beyonce's voice?,Cat-like,llama3-8b-8192
q_688,What does Rosen claim influenced Beyonce's style?,Rosen claims that Prince influenced Beyonce's style,llama3-8b-8192
q_689,What do other critics claim?,UNKNOWN,llama3-8b-8192
q_69,The Kellogg Institute for International Studies is part of which university?,University of Notre Dame,llama3-8b-8192
q_690,How many octaves does Beyoncé's voice span?,4,llama3-8b-8192
q_691,Why is Beyoncé known as the centerpiece of Destiny's Child?,She was the lead vocalist,llama3-8b-8192
q_692,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,smoky,llama3-8b-8192
q_693,What does Jody Rosen say influenced Beyoncé's vocal style?,Chaka Khan,llama3-8b-8192
q_694,Music from Beyonce is generally categorized as what genre?,Pop,llama3-8b-8192
q_695,"Besides R&B, which genres does Beyonce dabble in?","Pop, Rock, Hip-Hop, Electronic, and Gospel",llama3-8b-8192
q_696,"Beyonce mostly releases English songs, but what other language did she release songs?",Spanish,llama3-8b-8192
q_697,Spanish songs Beyonce released were for what?,Izabella and Amor Gitano,llama3-8b-8192
q_698,Beyonce was coached for her Spanish songs by which American?,Shakira,llama3-8b-8192
q_699,What kind of music does Beyonce do?,Pop/R&B,llama3-8b-8192
q_7,What is the daily student paper at Notre Dame called?,The Observer,llama3-8b-8192
q_70,What does the Kroc Institute at Notre Dame focus on?,Conflict studies and peacebuilding,llama3-8b-8192
q_700,What language does she mainly sing?,English,llama3-8b-8192
q_701,What other language has she sung?,French,llama3-8b-8192
q_702,What album did she re-release in Spanish?,J,llama3-8b-8192
q_703,What style of music does Beyoncé usually perform?,Pop/R&B,llama3-8b-8192
q_704,What language did Beyoncé release several songs in?,English,llama3-8b-8192
q_705,Who coached Beyoncé for her Spanish recordings?,Mario Domm,llama3-8b-8192
q_706,What album did the Spanish songs come from?,In the Night Café,llama3-8b-8192
q_707,Beyonce does not create which aspect of her music?,Lyrics,llama3-8b-8192
q_708,An example of a song aimed towards a male audience is what?,Sweet Child O' Mine,llama3-8b-8192
q_709,What theme was Beyonce's early music?,R&B,llama3-8b-8192
q_71,In what year did Notre Dame begin to host the Global Adaptation Index?,UNKNOWN,llama3-8b-8192
q_710,With Jay Z what were her new themes?,Sasha Fierce,llama3-8b-8192
q_711,What does she get credits for in her music?,Songwriting,llama3-8b-8192
q_712,What part of production does she do?,Design,llama3-8b-8192
q_713,Beyoncé's early recordings empowered who?,Destiny's Child,llama3-8b-8192
q_714,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",Executive producer,llama3-8b-8192
q_715,"Rather than beats, what two things does Beyoncé usually come up with for producers?",Melodies and lyrics,llama3-8b-8192
q_716,Pop Songwriter of the Year award in 2001 was awarded to whom?,Max Martin,llama3-8b-8192
q_717,Beyonce received the Pop Songwriter of the Year award at which event?,American Music Awards,llama3-8b-8192
q_718,Beyonce has the same number of writing credits on number one singles as whom?,Mariah Carey,llama3-8b-8192
q_719,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,Billboard's Hot 100 Chart,llama3-8b-8192
q_72,What threat does the Global Adaptation Index study?,Climate change,llama3-8b-8192
q_720,When did Beyonce become the first African American woman to win Pop songwriter of the year?,UNKNOWN,llama3-8b-8192
q_721,What place is she tied for in songwriting credits?,Elton John,llama3-8b-8192
q_722,Who listed her at number 17 in their list of Top 20 hot 100 Songwriters?,Billboard,llama3-8b-8192
q_723,Where does she place in writing credits for three number one songs?,Carole Bayer Sager,llama3-8b-8192
q_724,"What did Beyoncé win in 2001, making her the first black woman to do so?",MTV Video Music Award for Best Female Video,llama3-8b-8192
q_725,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,NSYNC,llama3-8b-8192
q_726,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",One,llama3-8b-8192
q_727,What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,14,llama3-8b-8192
q_728,To whom did Beyonce credit as her major influence on her music?,Destiny's Child,llama3-8b-8192
q_729,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,UNKNOWN,llama3-8b-8192
q_73,How many undergrads were attending Notre Dame in 2014?,"8,300",llama3-8b-8192
q_730,Beyonce gave a tribute award to who in 2006?,Coretta Scott King,llama3-8b-8192
q_731,Beyonce cites Mariah Carey to making her want to start doing what?,Singing,llama3-8b-8192
q_732,Who influenced Beyonce?,Destiny's Child,llama3-8b-8192
q_733,What song by Mariah Carey influenced her?,Vanishing,llama3-8b-8192
q_734,Who is Beyoncé's biggest musical influence?,Diana Ross,llama3-8b-8192
q_735,What was Beyoncé's first concert?,UNKNOWN,llama3-8b-8192
q_736,Who does Beyoncé feel is an all-around entertainer?,Michael Jackson,llama3-8b-8192
q_737,"Who does she credit for the inspiration to ""get up there and do what she did""?",Ellen DeGeneres,llama3-8b-8192
q_738,What song caused Beyoncé to practice runs as a child?,Respect,llama3-8b-8192
q_739,What themes were influenced by her acting role in Dreamgirls?,Jennifer Hudson's Oscar-winning performance in Dreamgirls,llama3-8b-8192
q_74,What percentage of students at Notre Dame are the children of former Notre Dame students?,25%,llama3-8b-8192
q_740,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Jay-Z,llama3-8b-8192
q_741,Who motivated Beyonce to explore other areas of music?,Jay-Z,llama3-8b-8192
q_742,What movie influenced Beyonce towards empowerment themes?,The Color Purple,llama3-8b-8192
q_743,How did Etta James influence her?,Aretha Franklin,llama3-8b-8192
q_744,Where did she perform wearing Baker's hula skirt?,The Tonight Show,llama3-8b-8192
q_745,What singer inspired Beyoncé's B'Day album?,Jay-Z,llama3-8b-8192
q_746,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,Creole Love Call,llama3-8b-8192
q_747,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",Michelle Obama,llama3-8b-8192
q_748,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,September 2014,llama3-8b-8192
q_749,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",Michelle Obama,llama3-8b-8192
q_75,How many teams participate in the Notre Dame Bookstore Basketball tournament?,64,llama3-8b-8192
q_750,Who personally influences Beyonce?,Jay-Z,llama3-8b-8192
q_751,Hoe does she describe Oprah Winfrey?,A force to be reckoned with,llama3-8b-8192
q_753,How does Madonna influence her?,Lourdes Leon,llama3-8b-8192
q_754,How does she describe Jay Z?,A genius,llama3-8b-8192
q_755,"Who inspires Beyoncé because ""she does it all?""",Michelle Obama,llama3-8b-8192
q_756,Who does Beyoncé describe as the definition of inspiration?,Jay-Z,llama3-8b-8192
q_757,Who does Beyoncé describe as lyrical and raw?,JAY-Z,llama3-8b-8192
q_758,Who inspired Beyoncé to take control of her career?,Mathew Knowles,llama3-8b-8192
q_759,Beyonce had an all-female tour band whose name was what?,The Destiny's Child Tour,llama3-8b-8192
q_76,For what cause is money raised at the Bengal Bouts tournament at Notre Dame?,Cancer research,llama3-8b-8192
q_760,Beyonce had singers in the background known by the name as?,The Destiny's Child,llama3-8b-8192
q_761,The Mamas members included which 3 musicians?,"John Phillips, Cass Elliot, and Denny Doherty",llama3-8b-8192
q_762,The Mamas first appearance was when?,1966,llama3-8b-8192
q_763,What band did Beyonce introduce in 2006?,Destiny's Child,llama3-8b-8192
q_764,What song name does the band Suga Mama and a song on the B'Day album share?,Crazy in Love,llama3-8b-8192
q_765,Where did Suga Mama band make their first appearance?,"The Suga Mama band made their first appearance on the TV show ""The Proud Family",llama3-8b-8192
q_766,What band supports Beyonce in her tours?,Destiny's Child,llama3-8b-8192
q_767,What is the name of Beyoncé's female tour band?,Sasha Fierce,llama3-8b-8192
q_768,Suga Mama is also a song on which Beyoncé album?,B'Day,llama3-8b-8192
q_769,What are Beyoncé's backup singers called?,The Destiny's Child,llama3-8b-8192
q_77,How many students in total were at Notre Dame in 2014?,UNKNOWN,llama3-8b-8192
q_770,When did The Mamas make their debut?,1966,llama3-8b-8192
q_771,What characteristics has Beyonce received acclaim for?,"Vocal range, songwriting, and live performances",llama3-8b-8192
q_772,Which former president of Def Jam called Beyonce the greatest entertainer alive?,Jay-Z,llama3-8b-8192
q_773,For what does Beyonce receive praise?,Her music and performances,llama3-8b-8192
q_774,Who chose her as number one on his list of Best singers/ Dancers?,Paul McCartney,llama3-8b-8192
q_775,How has L.A. Reid described her?,The Queen of Pop,llama3-8b-8192
q_776,How does Alice Jones describe her?,A writer,llama3-8b-8192
q_777,Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jennifer Lopez,llama3-8b-8192
q_778,Who has said that Beyoncé is the best entertainer alive?,Jay-Z,llama3-8b-8192
q_779,Beyonce self proclaimed alter ego is named what?,Sasha Fierce,llama3-8b-8192
q_78,What percentage of undergrads live on the Notre Dame campus?,70%,llama3-8b-8192
q_780,Her alter ego was born when according to Beyonce?,Carter,llama3-8b-8192
q_781,What year did Beyonce do away with Sasha Fierce?,2010,llama3-8b-8192
q_782,Beyonce brought back Sasha Fierce during which event?,I Am,llama3-8b-8192
q_783,How does she describe Sasha?,Beautiful,llama3-8b-8192
q_784,Later what did she say about Sasha?,She said nothing,llama3-8b-8192
q_785,What is the name of Beyoncé's alter ego?,Sasha Fierce,llama3-8b-8192
q_786,When did Beyoncé introduce Sasha Fierce?,2008,llama3-8b-8192
q_787,Sasha Fierce was created during the making of what song?,Crazy in Love,llama3-8b-8192
q_788,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,Beyoncé,llama3-8b-8192
q_789,Beyonce's sex appeal is characterized as what?,Feminine,llama3-8b-8192
q_79,How many student housing areas are reserved for Notre Dame's graduate students?,UNKNOWN,llama3-8b-8192
q_790,"Which music journalist described Beyonce as a ""crossover sex symbol?""",Quincy Jones,llama3-8b-8192
q_791,Which word spawned from a term used to describe Beyonce in 2006?,Slay,llama3-8b-8192
q_792,Bootylicious was a song from which act that Beyonce performed with?,Destiny's Child,llama3-8b-8192
q_793,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,Slay,llama3-8b-8192
q_794,What word is often used to describe Beyonce/,Queen,llama3-8b-8192
q_795,When was the term added to the dictionary?,1983,llama3-8b-8192
q_796,"What journalist wrote that Beyoncé was a ""sex symbol""?",Liz Smith,llama3-8b-8192
q_797,"Because of Beyoncé's physical shape, what slang term has been used to describe her?",Queen Bee,llama3-8b-8192
q_798,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,2014,llama3-8b-8192
q_799,How does Beyoncé say she likes to dress off-stage?,Comfy,llama3-8b-8192
q_8,How many student news papers are found at Notre Dame?,Three,llama3-8b-8192
q_80,How many dorms for males are on the Notre Dame campus?,14,llama3-8b-8192
q_800,"in September 2010, what career area did Beyonce start exploring?",Acting,llama3-8b-8192
q_801,Beyonce's first modelling event was at where?,Ikea,llama3-8b-8192
q_802,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",People Magazine,llama3-8b-8192
q_803,Which month and year did GQ feature Beyonce on its cover?,October 2009,llama3-8b-8192
q_804,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,MTV,llama3-8b-8192
q_805,Who called Beyonce the World's most Beautiful Woman?,People Magazine,llama3-8b-8192
q_806,Who called her Hottest Female Singer of all Time?,Billboard,llama3-8b-8192
q_807,When did she appear on the cover of GQ?,UNKNOWN,llama3-8b-8192
q_808,VH1 listed her at what number on their 100 Sexiest Artists list?,2,llama3-8b-8192
q_809,What year did Beyoncé first model for Tom Ford?,2009,llama3-8b-8192
q_81,What amount of the graduate student body at Notre Dame live on the campus?,Approximately 75%,llama3-8b-8192
q_810,"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?",People,llama3-8b-8192
q_811,What title did Complex award Beyoncé?,Best Female Hip-Hop Artist of the Year,llama3-8b-8192
q_812,What museum has made several models of Beyoncé in wax?,Madame Tussauds,llama3-8b-8192
q_813,Which parent of Beyonce's help co-write a book?,Mathew Knowles,llama3-8b-8192
q_814,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,Tyra Banks,llama3-8b-8192
q_815,What was the title of Beyonce's mother's book?,Act a Fool,llama3-8b-8192
q_816,When was she on the Sports Illustrated cover?,1986,llama3-8b-8192
q_817,Who was she the second African American on the cover after?,Kamala Harris,llama3-8b-8192
q_818,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?",Tyra Banks,llama3-8b-8192
q_819,"What magazine said Beyoncé was the ""best-dressed celebrity""?",People,llama3-8b-8192
q_82,There are how many dorms for females at Notre Dame?,14,llama3-8b-8192
q_820,Beyonce has a fan base that is referred to as what?,Beyhive,llama3-8b-8192
q_821,"Before the Bey Hive, fans of Beyonce were called what?",The Beyhive,llama-3.1-8b-instant
q_822,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,Beyonce herself,llama-3.1-8b-instant
q_823,What is Beyonce's fan base called?,Beyhive,llama-3.1-8b-instant
q_824,What did the fans used to be called?,Stands,llama-3.1-8b-instant
q_825,What is the latest term used to describe Beyoncé fans?,Beyhive,llama-3.1-8b-instant
q_826,What was the former word given to Beyoncé fans?,Beyhive,llama-3.1-8b-instant
q_827,"What word does ""Bey Hive"" derive from?",Beyoncé,llama-3.1-8b-instant
q_828,Beyonce has a clothing line known as what?,Ivy Park,llama-3.1-8b-instant
q_829,Which French magazine did Beyonce show up on the cover of?,UNKNOWN,llama-3.1-8b-instant
q_83,What is Congregation of Holy Cross in Latin?,Congregatio a Sancta Cruce,llama-3.1-8b-instant
q_830,Beyonce was seen wearing what on the french magazine that caused controversy?,A leotard,llama-3.1-8b-instant
q_831,Which year did PETA spark controversy with Beyonce?,2015,llama-3.1-8b-instant
q_832,What did PETA criticize Beyonce for in 2006?,PETA criticized Beyonce for wearing fur,llama-3.1-8b-instant
q_833,What French Magazine cover did the media criticize?,UNKNOWN,llama-3.1-8b-instant
q_834,How was she dressed on the cover of L'Officiel?,UNKNOWN,llama-3.1-8b-instant
q_835,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,L'Officiel,llama-3.1-8b-instant
q_836,What clothing line of Beyoncé drew PETA criticism?,Ivy Park,llama-3.1-8b-instant
q_837,What type of magazine is L'Officiel?,Fashion magazine,llama-3.1-8b-instant
q_838,Which racial community gave criticism to Beyonce?,The Black Lives Matter movement,llama-3.1-8b-instant
q_839,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,UNKNOWN,llama-3.1-8b-instant
q_84,What percentage of Notre Dame students feel they are Christian?,Approximately 83%,llama-3.1-8b-instant
q_840,Which company was accused of coloring Beyonce's hair?,L'Oréal,llama-3.1-8b-instant
q_841,What did Vogue request?,A 15-year-old model's ID,llama-3.1-8b-instant
q_842,How did L'Oreal respond to accusations of changing pictures?,L'Oreal denied the accusations,llama-3.1-8b-instant
q_843,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?",Her association with Blackface and cultural appropriation,llama-3.1-8b-instant
q_844,"In 2007, which music professor said he believes this criticism does involve race as well?",Henry Louis Gates Jr,llama-3.1-8b-instant
q_845,Who was accused of lightening Beyoncé's skin for an advertisement?,Tyra Banks,llama-3.1-8b-instant
q_846,What advertisement was Beyoncé's skin supposedly lightened in?,L'Oréal,llama-3.1-8b-instant
q_847,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,Anna Wintour,llama-3.1-8b-instant
q_848,Artist of the Decade was bestowed upon Beyonce from which magazine?,Rolling Stone,llama-3.1-8b-instant
q_849,Whats the first year that Beyonce appear on the Time 100 list?,2007,llama-3.1-8b-instant
q_85,How often is Catholic mass held at Notre Dame in a week?,Multiple times a day,llama-3.1-8b-instant
q_850,Beyonce than appeared again on the Time 100 list in what year?,2007,llama-3.1-8b-instant
q_851,What did the Guardian name her?,UNKNOWN,llama-3.1-8b-instant
q_852,When did Beyonce first make the Time 100 List?,2006,llama-3.1-8b-instant
q_853,When was she again on the Time 100 List and on the cover?,UNKNOWN,llama-3.1-8b-instant
q_854,Who said that she is the reigning national voice?,UNKNOWN,llama-3.1-8b-instant
q_855,Who stated that Beyoncé is the most important musician of the 21st century?,UNKNOWN,llama-3.1-8b-instant
q_856,Which publication named Beyoncé the Artist of the Decade?,Billboard,llama-3.1-8b-instant
q_857,What list did Beyoncé make in 2013?,Time 100 list,llama-3.1-8b-instant
q_858,Who said Beyoncé is the heir-apparent diva of the United States?,UNKNOWN,llama-3.1-8b-instant
q_859,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,2007,llama-3.1-8b-instant
q_86,How many chapels are on the Notre Dame campus?,UNKNOWN,llama-3.1-8b-instant
q_860,Which rock band cited Beyonce on their third album?,UNKNOWN,llama-3.1-8b-instant
q_861,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",Gwyneth Paltrow,llama-3.1-8b-instant
q_862,Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?,UNKNOWN,llama-3.1-8b-instant
q_863,What influenced Nicki Minaj to join the Pepsi global campaign?,UNKNOWN,llama-3.1-8b-instant
q_864,Which band listed Beyonce as an inspiration on their latest album?,UNKNOWN,llama-3.1-8b-instant
q_865,What about Beyonce has influenced many entertainers?,Her work ethic and stage presence,llama-3.1-8b-instant
q_866,For what film was Paltrow studying Beyonce ?,Country Strong,llama-3.1-8b-instant
q_867,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,UNKNOWN,llama-3.1-8b-instant
q_868,What was the name of the White Rabbits' album?,It's My Body,llama-3.1-8b-instant
q_869,Who studied Beyoncé during live concerts for research for a film's music role?,Naomi Foner Gyllenhaal,llama-3.1-8b-instant
q_87,What amount of the student body of Notre Dame identifies as Catholic?,Approximately 80%,llama-3.1-8b-instant
q_870,What was the name of the film that Gwyneth Paltrow starred in as a musician?,Country Strong,llama-3.1-8b-instant
q_871,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,Rihanna,llama-3.1-8b-instant
q_872,"VH1 declared what song the ""Greatest song of the 2000s?""","Umbrella"" by Rihanna",llama-3.1-8b-instant
q_873,"How many Grammy awards did ""Crazy in Love"" win?",1,llama-3.1-8b-instant
q_874,How many did Crazy in Love sell to become one of the greatest selling singles in history?,10 million,llama-3.1-8b-instant
q_875,What type of organism was named after Beyonce in 2012?,Beyonce's halfbeak,llama-3.1-8b-instant
q_876,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,2023,gemma2-9b-it
q_877,Which of Beyonce's songs was called Greatest Song of the 2000s?,Crazy in Love,gemma2-9b-it
q_878,How many Grammy awards did Crazy in Love get?,3,gemma2-9b-it
q_879,How many copies did Crazy in Love sell?,UNKNOWN,gemma2-9b-it
q_88,What was the music hall at Notre Dame called?,UNKNOWN,gemma2-9b-it
q_880,Who released the single Girls Love Beyonce?,Lizzo,gemma2-9b-it
q_881,Which publication considers Crazy in Love to be one of the top 500 songs of all time?,Rolling Stone,gemma2-9b-it
q_882,"Who sang ""Girls Love Beyoncé"" in 2013?",The-Dream,gemma2-9b-it
q_883,What did Bryan Lessard name after Beyoncé?,His daughter,gemma2-9b-it
q_884,How many copies of her albums as Beyonce sold in the US?,UNKNOWN,gemma2-9b-it
q_885,"Totaling worldwide, how many records as Beyonce sold?",UNKNOWN,gemma2-9b-it
q_886,How many certifications was Beyonce awarded by the RIAA?,29,gemma2-9b-it
q_887,"When Beyonce was with Destiny's Child, how many albums did she manage to sell?",UNKNOWN,gemma2-9b-it
q_888,Who was the first female to achieve the International Artist Award at the American Music Awards?,UNKNOWN,gemma2-9b-it
q_889,How many albums has Beyonce as a solo artist sold in the U.S?,UNKNOWN,gemma2-9b-it
q_89,In what year was the Main Building at Notre Dame razed in a fire?,2019,gemma2-9b-it
q_890,How many has she sold worldwide?,UNKNOWN,gemma2-9b-it
q_891,How many records has she sold with Destiny's Child?,UNKNOWN,gemma2-9b-it
q_892,When did she receive the Legend Award?,UNKNOWN,gemma2-9b-it
q_893,How many music certifications has she received in the 2000s?,UNKNOWN,gemma2-9b-it
q_894,How many records has Beyoncé sold in the United States?,UNKNOWN,gemma2-9b-it
q_895,How many records has Beyoncé sold throughout the world?,UNKNOWN,gemma2-9b-it
q_896,Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America (RIAA),gemma2-9b-it
q_897,How many certifications did RIAA give Beyoncé?,17,gemma2-9b-it
q_898,When did Beyoncé receive the Legend Award?,2023,gemma2-9b-it
q_899,How many Grammys has Beyonce won total with and without Destiny's Child?,32,gemma2-9b-it
q_9,In what year did the student paper Common Sense begin publication at Notre Dame?,1910,gemma2-9b-it
q_90,Who was the president of Notre Dame in 1879?,Father Edward Sorin,gemma2-9b-it
q_900,Who is the only other woman with more Grammy awards than Beyonce?,Alison Krauss,gemma2-9b-it
q_901,Beyonce has been awarded how many Grammy nominations?,88,gemma2-9b-it
q_902,Beyonce holds the record for how many wins in one night by a female?,6,gemma2-9b-it
q_903,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,1,gemma2-9b-it
q_904,How many Grammies has Beyonce won?,32,gemma2-9b-it
q_905,How many Grammy nominations does Beyonce have?,88,gemma2-9b-it
q_906,When did she set the record for most Grammy awards won in one night?,UNKNOWN,gemma2-9b-it
q_907,Who tied her record for most Grammies won in one night in 2012?,Beyoncé,gemma2-9b-it
q_908,How many Grammys has Beyoncé won?,32,gemma2-9b-it
q_909,How many Grammy nominations has Beyoncé had?,88,gemma2-9b-it
q_91,On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,"April 15, 2019",gemma2-9b-it
q_910,What Beyoncé song was song of the year on 2010?,UNKNOWN,gemma2-9b-it
q_911,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,Dreamgirls,gemma2-9b-it
q_912,Which soda company has Beyonce partnered with since 2002?,Pepsi,gemma2-9b-it
q_913,Pepsi paid Beyonce how much in 2012 for her endorsement?,UNKNOWN,gemma2-9b-it
q_914,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,The American Civil Liberties Union (ACLU),gemma2-9b-it
q_915,What percentage of people were positive about Beyonce's endorsement of Pepsi?,UNKNOWN,gemma2-9b-it
q_916,When did Beyonce begin doing Pepsi advetisments?,2012,gemma2-9b-it
q_917,Who was in the commercial with Beyonce in 2004?,Jay-Z,meta-llama/llama-4-maverick-17b-128e-instruct
q_918,What did she agree to do for 50 million dollars in 2012?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_919,Who sent her a letter asking that she reconsider the Pepsi deal?,Kendall Jenner,meta-llama/llama-4-maverick-17b-128e-instruct
q_92,What did the Science Hall at Notre Dame come to be known as?,The Main Building,meta-llama/llama-4-maverick-17b-128e-instruct
q_920,What soft drink company has Beyoncé worked with since 2002?,Pepsi,meta-llama/llama-4-maverick-17b-128e-instruct
q_921,How much did Beyoncé get for a deal with a soft drink company in 2012?,50 million USD,meta-llama/llama-4-maverick-17b-128e-instruct
q_922,Who asked her to change her mind about the soft drink deal due to the nature of the product?,Warren Buffett,meta-llama/llama-4-maverick-17b-128e-instruct
q_923,What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_924,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",Tommy Hilfiger,meta-llama/llama-4-maverick-17b-128e-instruct
q_925,The world's best selling celebrity perfume line belongs to whom?,Justin Bieber,meta-llama/llama-4-maverick-17b-128e-instruct
q_926,Beyonce's first fragrance had what name?,Heat,meta-llama/llama-4-maverick-17b-128e-instruct
q_927,The Mrs. Carter Show Limited Edition was released in what year?,2016,meta-llama/llama-4-maverick-17b-128e-instruct
q_928,How much money did The Mrs. Carter Show Limited Edition fragrance make?,$1,meta-llama/llama-4-maverick-17b-128e-instruct
q_929,What was Beyonce's 2010 perfume called?,Heat,meta-llama/llama-4-maverick-17b-128e-instruct
q_93,What type of education was pushed at Notre Dame before its embracing of national standards?,Classical education,meta-llama/llama-4-maverick-17b-128e-instruct
q_930,"When was her second perfume, Heat Rush, released?",2013,meta-llama/llama-4-maverick-17b-128e-instruct
q_931,What was Beyonce's third perfume named?,Heat Rush,meta-llama/llama-4-maverick-17b-128e-instruct
q_932,How many editions of Heat have been launched?,24,meta-llama/llama-4-maverick-17b-128e-instruct
q_933,Which Emporio Armani fragrance did Beyoncé promote in 2007?,Diamonds for Men,meta-llama/llama-4-maverick-17b-128e-instruct
q_934,What year did Beyoncé introduce her first fragrance?,2010,meta-llama/llama-4-maverick-17b-128e-instruct
q_935,What was Beyoncé's first fragrance called?,Heat,meta-llama/llama-4-maverick-17b-128e-instruct
q_936,How many editions of Heat exist?,4,meta-llama/llama-4-maverick-17b-128e-instruct
q_937,How young was Beyonce when she acquired deals from American Express and L'Oreal?,18,meta-llama/llama-4-maverick-17b-128e-instruct
q_938,What was the name of the video game that was cancelled for Beyonce?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_939,When did Beyonce begin her deals with name brands?,2002,meta-llama/llama-4-maverick-17b-128e-instruct
q_94,Which college did Notre Dame add in 1921?,Naval Academy,meta-llama/llama-4-maverick-17b-128e-instruct
q_940,How many people lost jobs when Beyonce left the video game deal?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_941,How was the suit settled?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_942,What was the name of the video game?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_943,What video game did Beyoncé back out of?,Command & Conquer,meta-llama/llama-4-maverick-17b-128e-instruct
q_944,What company was producing the video game?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_945,How many people lost their jobs over Beyoncé backing out of the deal?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_946,When was the disagreement settled out of court?,UNKNOWN,meta-llama/llama-4-maverick-17b-128e-instruct
q_947,Who did Bayonce's management go into business with in 2014?,"Jay-Z's Roc Nation and TIDAL's parent company, KGHM, but most specifically, Jay-Z's Roc Nation partnered with TIDAL",meta-llama/llama-4-maverick-17b-128e-instruct
q_948,"After their agreement together, Beyonce's and Topshop"" new business was called what?","Ivy Park x Adidas (previously known as Ivy Park, a collaboration was considered with Topshop but ultimately didn't happen, actual collaboration was with Adidas)",meta-llama/llama-4-maverick-17b-128e-instruct
q_949,What type of clothing does Parkwood Topshop Athletic Ltd produce?,Athletic clothing,meta-llama/llama-4-maverick-17b-128e-instruct
q_95,"In 1919 a new president of Notre Dame was named, who was it?",Father Matthew J,meta-llama/llama-4-maverick-17b-128e-instruct
q_950,The company and products were set to be in stores when?,Fall 2013,meta-llama/llama-4-maverick-17b-128e-instruct
q_951,Who did Beyonce partner with in London?,Jay-Z,meta-llama/llama-4-maverick-17b-128e-instruct
q_952,When will the new line launch?,NEXT QUARTER,meta-llama/llama-4-maverick-17b-128e-instruct
q_953,What is the name of Beyoncé's management company?,Parkwood Entertainment,meta-llama/llama-4-maverick-17b-128e-instruct
q_954,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,Taymor Gobbons and 22nd Century Group,meta-llama/llama-4-maverick-17b-128e-instruct
q_955,Where is Topshop located?,UK and online worldwide,meta-llama/llama-4-maverick-17b-128e-instruct
